TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


688014,79 121 
688531,68 125 
689004,28 137 
689068,66 65 
689488,16 144 
689489,99 144 
689491,32 144 
689968,04 101 
689969,25 100 
689969,25 51 
690008,45 1
690008,45 2
690008,45 2
690008,45 60 
690408,88 61 
691424,25 62 
691710,79 64 
692022,06 121 
692546,18 125 
692975,61 137 
693055,41 65 
693502,08 144 
693504,25 144 
693506,08 144 
693983,23 101 
693985,5 100 
693985,5 51 
694023,62 2
694023,62 2
694023,62 2
694023,62 60 
694430,57 61 
695441,14 62 
695486,67 64 
695802,64 121 
696369,25 125 
696680,86 137 
696885,25 66 
697333,74 144 
697335,29 144 
697337,07 144 
697815,87 101 
697817,13 100 
697817,13 51 
697855,73 1
697855,73 1
697855,73 2
697855,73 60 
698237,56 61 
699255,18 62 
699532,35 64 
699851,88 121 
700378,09 125 
700765,7 137 
700884,73 65 
701316,59 144 
701318,27 144 
701319,56 144 
701797,17 101 
701798,37 100 
701798,37 51 
701837,7 1
701837,7 2
701837,7 2
701837,7 60 
702055,1 61 
703068,17 63 
703087,64 60 
703494,5 111 
703817,67 114 
703853,53 60 
704185,42 61 
705203,03 62 
706303,86 64 
706615,69 121 
707140,13 125 
707598,47 137 
707663,91 65 
708079,67 144 
708081,37 144 
708082,47 144 
708561,38 101 
708562,62 100 
708562,62 51 
708602,08 1
708602,08 2
708602,08 2
708602,08 60 
709620,82 61 
710633,96 62 
710674,6 64 
710957,44 121 
711510,26 125 
712030,51 65 
712298,64 137 
712481,02 144 
712482,95 144 
712484,63 144 
713147,81 101 
713149,21 100 
713149,21 51 
713184,2 2
713184,2 2
713184,2 2
713184,2 60 
713662,55 111 
713894,61 114 
713933,86 60 
714022,7 61 
715033,92 62 
715611,65 64 
715898,86 121 
716453,64 125 
716956,35 137 
717019,85 66 
717412,01 144 
717414,07 144 
717415,3 144 
717891,29 101 
717892,59 100 
717892,59 51 
717932,79 1
717932,79 2
717932,79 2
717932,79 60 
719095,61 111 
719379,77 114 
719415,19 60 
719725,02 61 
720747,68 62 
721069,81 64 
721331,63 121 
721897,85 125 
722135,75 137 
722410,17 65 
722876,58 144 
722878,51 144 
722879,49 144 
723356,54 101 
723358,65 100 
723358,65 51 
723397,48 1
723397,48 1
723397,48 1
723397,48 60 
725381,21 61 
726396,79 62 
727074,06 64 
727378,77 121 
727930,95 125 
728290 137 
728442,69 65 
728891,02 144 
728892,77 144 
728894,42 144 
729371,13 101 
729372,36 100 
729372,36 51 
729412,04 1
729412,04 2
729412,04 2
729412,04 60 
730011,44 61 
731027,66 62 
731118,46 64 
731462,47 121 
732039,66 125 
732332,93 137 
732558,56 65 
733006,62 144 
733008,32 144 
733009,55 144 
733486,13 101 
733487,37 100 
733487,37 51 
733528,18 1
733528,18 2
733528,18 2
733528,18 60 
733747,79 61 
734759,97 62 
735574,13 64 
735877,59 121 
736402,16 125 
736570,16 137 
736640,71 131 
736918,25 137 
736990,4 65 
737371,23 144 
737372,86 144 
737373,99 144 
737851,42 101 
737852,83 100 
737852,83 51 
737892,6 1
737892,6 1
737892,6 1
737892,6 60 
739517,48 61 
740526,71 62 
740749,28 64 
741073,36 121 
741609,85 124 
744820,24 121 
745349,14 125 
745844 137 
745909,27 65 
746318,55 144 
746320,59 144 
746322,28 144 
746798,15 101 
746799,31 100 
746799,31 51 
746839,51 1
746839,51 2
746839,51 2
746839,51 60 
749919,99 111 
750023,27 114 
750071,66 60 
750577,35 111 
750804,37 114 
750838,08 60 
757983,23 111 
758363,47 114 
758402,3 60 
758546,9 61 
759568,1 62 
760046,31 64 
760319,49 123 
760758,19 124 
761060,99 122 
761578,79 125 
761784,24 137 
762097,34 66 
762536,77 144 
762538,47 144 
762539,78 144 
764274,64 101 
764276,37 100 
764276,37 51 
764317,1 1
764317,1 2
764317,1 2
764317,1 60 
764611,45 111 
765612,49 114 
765633,5 60 
766617,24 61 
767632,16 62 
767974,31 64 
768646,86 122 
769123,5 124 
775074,46 122 
775504,95 124 
778850,53 123 
779373,88 125 
779875,99 137 
779939,34 66 
780340,48 144 
780342,22 144 
780343,36 144 
780819,88 101 
780821,09 100 
780821,09 51 
780862,76 1
780862,76 2
780862,76 2
780862,76 60 
781094,25 61 
782111,68 62 
783015 64 
783490,04 122 
784019,17 125 
784087,56 137 
784541,39 66 
784988,63 144 
784990,1 144 
784991,13 144 
786886,3 101 
786887,87 100 
786887,87 51 
786926,57 2
786926,57 2
786926,57 2
786926,57 60 
787356,28 113 
787529,74 114 
787576,2 60 
787895,43 61 
788908,81 62 
789117,23 64 
789439,57 122 
789954,25 125 
790199,79 137 
790472,09 66 
790921,75 144 
790923,32 144 
790924,35 144 
791399,92 101 
791401,14 100 
791401,14 51 
791441,43 1
791441,43 2
791441,43 2
791441,43 60 
791460,74 61 
792492,68 62 
793049,65 64 
793365,59 121 
793858,97 125 
794370,42 65 
794448,82 137 
794801,75 144 
794803,62 144 
794804,74 144 
795283,1 101 
795284,34 100 
795284,34 51 
795306,95 1
795306,95 1
795306,95 1
795306,95 60 
795538,85 61 
796556 62 
796746,48 64 
797054,78 121 
797560,73 125 
797789,22 137 
798069,24 65 
798500,52 144 
798501,99 144 
798503,46 144 
798982,84 101 
798984,04 100 
798984,04 51 
799022,31 1
799022,31 1
799022,31 1
799022,31 60 
799288,13 61 
800305,7 62 
800523,8 64 
800849,46 121 
801378,16 125 
801550,14 137 
801884,56 65 
802333,38 144 
802335,1 144 
802336,71 144 
802812,82 101 
802814,01 100 
802814,01 51 
802854,49 2
802854,49 2
802854,49 2
802854,49 60 
802977,5 61 
803989,21 62 
804145,25 64 
804523,4 121 
805086,75 125 
805476,47 137 
805601,04 66 
806050,19 144 
806052,13 144 
806053,84 144 
806527,98 101 
806529,13 100 
806529,13 51 
806569,98 1
806569,98 1
806569,98 1
806569,98 60 
806711,36 61 
807723,4 62 
807953,63 64 
808288,14 121 
808790,88 125 
809288,56 137 
809326,95 65 
809731,03 144 
809732,67 144 
809733,9 144 
810210,94 101 
810212,13 100 
810212,13 51 
810252,16 2
810252,16 1
810252,16 2
810252,16 60 
810437,69 61 
811393,31 63 
811402,77 60 
811774,41 111 
812440,67 114 
812484,61 60 
812694,23 61 
813121,28 63 
813134,21 60 
813521,39 61 
814343,38 63 
814351,91 60 
814695,89 111 
815232,21 114 
815268,21 60 
815303,04 61 
816318,39 62 
816734,53 64 
817053,58 121 
817614,44 125 
817963,98 137 
818129,83 66 
818564,71 101 
818603,66 8
818603,66 52 
818678,96 100 
818678,96 52 
818699,32 1
818699,32 2
818699,32 2
818699,32 60 
819067,73 61 
820080,85 62 
820183,41 64 
