TotalRequired,  100
t_hold_target,  450
T_Hold_Lev,  1000


1525335,85 101 
1525337,47 100 
1525337,47 52 
1525384,84 1
1525384,84 2
1525384,84 1
1525384,84 60 
1525699,21 111 
1532505,12 114 
1532532,31 60 
1693007,33 61 
1694029,83 62 
1694146,56 64 
1694722,3 121 
1695295,73 125 
1695432,13 137 
1695808,8 65 
1696341,87 144 
1696343,77 144 
1696345,22 144 
1697151,37 101 
1697152,93 100 
1697152,93 52 
1697194,9 1
1697194,9 1
1697194,9 2
1697194,9 60 
1697849,18 61 
1698777,19 63 
1698794,23 60 
1699321,08 111 
1699546,03 114 
1699593,87 60 
1699871,28 61 
1700892,95 62 
1700949,4 64 
1701580,13 121 
1702100,29 125 
1702408,38 137 
1702623,91 66 
1703172,14 144 
1703173,66 144 
1703175,03 144 
1705817,28 101 
1705818,64 100 
1705818,64 52 
1705858,53 1
1705858,53 2
1705858,53 2
1705858,53 60 
1706282,96 112 
1706604,37 114 
1706641,49 60 
1707041,66 61 
1708057,56 62 
1711318,02 64 
1711828,08 121 
1712392,7 125 
1712902,22 66 
1713202,55 137 
1713453,31 144 
1713454,73 144 
1713455,92 144 
1716664,4 101 
1716665,93 100 
1716665,93 52 
1716705,97 2
1716705,97 2
1716705,97 2
1716705,97 60 
1717707,37 61 
1718720,33 62 
1719065,16 64 
1719516,29 121 
1720046,33 125 
1720567,75 66 
1720637,16 137 
1721132,64 144 
1721134,45 144 
1721136,05 144 
1721594,82 101 
1721596 100 
1721596 52 
1721638,53 1
1721638,53 2
1721638,53 2
1721638,53 60 
1721671,23 61 
1722690,06 62 
1725040,17 64 
1725486,19 122 
1726010,32 125 
1726356,58 137 
1726532,75 65 
1727056,87 144 
1727058,41 144 
1727059,28 144 
1727543,7 101 
1727545,04 100 
1727545,04 52 
1727585,76 1
1727585,76 2
1727585,76 2
1727585,76 60 
1727814,18 61 
1728834,41 62 
1728870,57 64 
1729298,71 122 
1729826,12 125 
1730347,93 65 
1730363,7 137 
1730897,74 144 
1730899,31 144 
1730900,61 144 
1731375,44 101 
1731377,54 100 
1731377,54 52 
1731416,81 1
1731416,81 2
1731416,81 2
1731416,81 60 
1731486,61 61 
1732499,53 62 
1732793,09 64 
