TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


1201989,66 64 
1211149,05 252 
1211149,05 101 
1211150,9 100 
1211150,9 51 
1211170,6 1
1211170,6 2
1211170,6 2
1211170,6 60 
1219927,55 61 
1220649,25 63 
1220667,19 60 
1221019,86 111 
1221271,06 114 
1221316,93 60 
1221428,56 61 
1222449,87 62 
1222849,32 64 
1223124 123 
1223687,23 125 
1223726,53 137 
1224196,79 66 
1224645,12 144 
1224647,48 144 
1224648,57 144 
1226911,52 101 
1226912,99 100 
1226912,99 51 
1226950,19 2
1226950,19 2
1226950,19 2
1226950,19 60 
1229873,57 61 
1230881,89 62 
1231020,17 64 
1231316,02 121 
1231857,38 125 
1231955,3 137 
1232376,99 66 
1232825,66 144 
1232827,07 144 
1232827,99 144 
1233304,65 101 
1233306,03 100 
1233306,03 51 
1233346,38 1
1233346,38 2
1233346,38 2
1233346,38 60 
1246701,69 61 
1247724,88 62 
1248093,24 64 
1248366,48 123 
1248896,11 125 
1249071,19 137 
1249405,61 66 
1249854,53 144 
1249856,1 144 
1249857,24 144 
1250333,76 101 
1250334,93 100 
1250334,93 51 
1250375,97 1
1250375,97 2
1250375,97 1
